date,open,high,low,close,tick_volume
2026-03-12 02:30:00,5156.01,5157.9,5153.08,5156.24,
2026-03-12 02:31:00,5156.23,5156.57,5154.88,5154.93,
2026-03-12 02:32:00,5154.85,5154.9,5152.39,5153.33,
2026-03-12 02:33:00,5153.36,5153.6,5152.03,5152.12,
2026-03-12 02:34:00,5152.09,5152.85,5150.32,5150.32,
2026-03-12 02:35:00,5150.29,5150.44,5146.01,5149.61,
2026-03-12 02:36:00,5149.61,5151.19,5148.13,5150.93,
2026-03-12 02:37:00,5150.93,5153.07,5150.92,5152.88,
2026-03-12 02:38:00,5152.88,5152.88,5148.3,5151.01,
2026-03-12 02:39:00,5151.12,5151.13,5146.45,5150.09,
2026-03-12 02:40:00,5150.1,5151.28,5150.0,5150.68,
2026-03-12 02:41:00,5150.68,5151.97,5149.73,5151.96,
2026-03-12 02:42:00,5151.96,5153.09,5151.24,5151.33,
2026-03-12 02:43:00,5151.33,5152.02,5150.61,5150.98,
2026-03-12 02:44:00,5150.98,5151.3,5146.52,5147.0,
2026-03-12 02:45:00,5147.0,5147.37,5142.41,5142.88,
2026-03-12 02:46:00,5142.86,5144.26,5140.74,5141.25,
2026-03-12 02:47:00,5141.25,5143.72,5138.12,5143.45,
2026-03-12 02:48:00,5143.4,5144.85,5142.3,5144.72,
2026-03-12 02:49:00,5144.71,5146.46,5141.31,5143.23,
2026-03-12 02:50:00,5143.23,5143.79,5141.62,5142.21,
2026-03-12 02:51:00,5142.21,5143.41,5141.65,5141.83,
2026-03-12 02:52:00,5141.77,5142.09,5139.17,5142.06,
2026-03-12 02:53:00,5142.1,5142.98,5140.31,5140.87,
2026-03-12 02:54:00,5140.87,5141.78,5139.36,5141.78,
2026-03-12 02:55:00,5141.78,5145.03,5141.41,5143.94,
2026-03-12 02:56:00,5143.93,5143.99,5139.77,5140.18,
2026-03-12 02:57:00,5140.18,5140.31,5136.9,5136.95,
2026-03-12 02:58:00,5137.13,5138.48,5134.73,5134.88,
2026-03-12 02:59:00,5134.63,5136.19,5133.21,5134.13,
2026-03-12 03:00:00,5134.43,5135.85,5127.12,5128.04,
2026-03-12 03:01:00,5128.07,5129.88,5126.06,5127.52,
2026-03-12 03:02:00,5127.42,5134.17,5126.43,5133.32,
2026-03-12 03:03:00,5133.28,5135.11,5130.61,5130.62,
2026-03-12 03:04:00,5130.62,5132.34,5128.96,5131.06,
2026-03-12 03:05:00,5131.09,5134.37,5129.65,5132.73,
2026-03-12 03:06:00,5132.33,5134.01,5129.87,5132.3,
2026-03-12 03:07:00,5132.09,5132.66,5125.69,5130.09,
2026-03-12 03:08:00,5130.09,5136.36,5129.25,5135.9,
2026-03-12 03:09:00,5135.85,5138.5,5133.26,5137.28,
2026-03-12 03:10:00,5137.51,5138.96,5136.93,5138.63,
2026-03-12 03:11:00,5138.63,5139.35,5136.33,5138.56,
2026-03-12 03:12:00,5138.2,5142.12,5138.17,5140.58,
2026-03-12 03:13:00,5140.52,5141.22,5139.58,5141.08,
2026-03-12 03:14:00,5141.14,5142.14,5138.69,5139.0,
2026-03-12 03:15:00,5139.0,5144.06,5139.0,5143.42,
2026-03-12 03:16:00,5143.42,5144.06,5141.8,5143.18,
2026-03-12 03:17:00,5143.18,5144.07,5140.77,5140.77,
2026-03-12 03:18:00,5140.82,5144.28,5140.07,5142.54,
2026-03-12 03:19:00,5142.54,5142.54,5139.82,5141.81,
2026-03-12 03:20:00,5141.82,5144.12,5141.02,5143.83,
2026-03-12 03:21:00,5143.83,5143.93,5141.62,5143.49,
2026-03-12 03:22:00,5143.51,5145.92,5143.51,5145.73,
2026-03-12 03:23:00,5145.72,5145.72,5142.75,5145.25,
2026-03-12 03:24:00,5145.25,5149.27,5145.25,5149.07,
2026-03-12 03:25:00,5149.18,5153.79,5149.17,5153.57,
2026-03-12 03:26:00,5153.63,5155.17,5152.27,5154.79,
2026-03-12 03:27:00,5154.78,5156.3,5152.87,5156.3,
2026-03-12 03:28:00,5156.31,5157.99,5156.31,5156.64,
2026-03-12 03:29:00,5156.64,5158.0,5152.7,5152.7,
2026-03-12 03:30:00,5152.72,5153.27,5151.46,5151.84,
2026-03-12 03:31:00,5151.84,5154.51,5151.71,5154.49,
2026-03-12 03:32:00,5154.49,5155.51,5151.61,5151.64,
2026-03-12 03:33:00,5151.67,5153.66,5151.35,5152.24,
2026-03-12 03:34:00,5152.18,5153.62,5151.76,5153.03,
2026-03-12 03:35:00,5153.03,5154.58,5152.19,5154.02,
2026-03-12 03:36:00,5154.02,5156.54,5153.88,5156.32,
2026-03-12 03:37:00,5156.36,5161.62,5156.07,5160.32,
2026-03-12 03:38:00,5160.31,5161.27,5158.8,5158.86,
2026-03-12 03:39:00,5159.01,5159.01,5155.34,5157.74,
2026-03-12 03:40:00,5157.74,5157.97,5155.88,5156.53,
2026-03-12 03:41:00,5156.53,5156.54,5154.7,5155.66,
2026-03-12 03:42:00,5155.67,5158.83,5155.02,5156.18,
2026-03-12 03:43:00,5156.2,5156.2,5154.45,5154.87,
2026-03-12 03:44:00,5154.87,5155.5,5154.21,5154.31,
2026-03-12 03:45:00,5154.31,5155.03,5153.81,5154.29,
2026-03-12 03:46:00,5154.29,5154.3,5152.5,5153.61,
2026-03-12 03:47:00,5153.55,5155.02,5153.27,5154.57,
2026-03-12 03:48:00,5154.57,5154.57,5150.98,5151.2,
2026-03-12 03:49:00,5151.17,5155.12,5150.25,5153.4,
2026-03-12 03:50:00,5153.4,5155.59,5153.05,5155.5,
2026-03-12 03:51:00,5155.52,5156.0,5153.49,5155.84,
2026-03-12 03:52:00,5155.81,5155.81,5153.18,5153.26,
2026-03-12 03:53:00,5153.26,5154.34,5153.02,5153.82,
2026-03-12 03:54:00,5153.83,5155.58,5152.77,5155.04,
2026-03-12 03:55:00,5155.04,5155.04,5151.86,5153.88,
2026-03-12 03:56:00,5154.51,5154.81,5153.2,5154.3,
2026-03-12 03:57:00,5154.33,5154.33,5152.93,5153.34,
2026-03-12 03:58:00,5153.33,5154.68,5152.65,5153.76,
2026-03-12 03:59:00,5153.77,5154.27,5152.6,5152.86,
2026-03-12 04:00:00,5152.88,5161.26,5152.08,5161.26,
2026-03-12 04:01:00,5161.17,5166.74,5161.17,5164.74,
2026-03-12 04:02:00,5164.77,5165.02,5162.08,5164.45,
2026-03-12 04:03:00,5164.47,5166.84,5162.24,5163.58,
2026-03-12 04:04:00,5163.55,5163.55,5157.91,5158.69,
2026-03-12 04:05:00,5158.69,5159.33,5155.53,5155.82,
2026-03-12 04:06:00,5155.67,5155.69,5152.25,5153.46,
2026-03-12 04:07:00,5153.59,5157.18,5152.37,5155.18,
2026-03-12 04:08:00,5155.4,5156.2,5152.51,5154.86,
2026-03-12 04:09:00,5154.86,5158.05,5154.86,5156.42,
2026-03-12 04:10:00,5156.45,5158.06,5156.02,5156.59,
2026-03-12 04:11:00,5156.59,5159.05,5156.41,5156.55,
2026-03-12 04:12:00,5156.54,5157.88,5154.44,5154.49,
2026-03-12 04:13:00,5154.52,5157.61,5153.86,5157.56,
2026-03-12 04:14:00,5157.56,5159.3,5156.04,5157.12,
2026-03-12 04:15:00,5157.12,5158.4,5151.49,5155.11,
2026-03-12 04:16:00,5154.49,5157.66,5153.65,5156.07,
2026-03-12 04:17:00,5156.1,5157.84,5154.3,5155.28,
2026-03-12 04:18:00,5155.21,5158.87,5155.01,5158.35,
2026-03-12 04:19:00,5158.36,5159.61,5158.27,5159.17,
2026-03-12 04:20:00,5159.17,5159.83,5157.75,5158.0,
2026-03-12 04:21:00,5158.0,5158.0,5155.33,5156.85,
2026-03-12 04:22:00,5156.85,5160.79,5156.85,5160.02,
2026-03-12 04:23:00,5160.05,5161.12,5158.28,5159.44,
2026-03-12 04:24:00,5159.44,5159.57,5156.56,5159.44,
2026-03-12 04:25:00,5159.78,5160.36,5157.45,5158.12,
2026-03-12 04:26:00,5158.12,5159.57,5156.55,5156.56,
2026-03-12 04:27:00,5156.67,5160.85,5156.04,5158.53,
2026-03-12 04:28:00,5158.1,5158.78,5155.93,5156.29,
2026-03-12 04:29:00,5156.27,5157.63,5154.72,5157.46,
2026-03-12 04:30:00,5157.52,5159.2,5156.49,5156.86,
2026-03-12 04:31:00,5156.81,5157.7,5154.71,5155.09,
2026-03-12 04:32:00,5155.04,5157.23,5154.77,5156.23,
2026-03-12 04:33:00,5156.23,5159.21,5156.15,5157.54,
2026-03-12 04:34:00,5157.54,5158.56,5157.06,5158.36,
2026-03-12 04:35:00,5158.36,5158.97,5156.33,5158.03,
2026-03-12 04:36:00,5158.03,5160.68,5157.59,5159.82,
2026-03-12 04:37:00,5159.92,5161.26,5158.82,5160.73,
2026-03-12 04:38:00,5160.74,5162.44,5160.51,5161.73,
2026-03-12 04:39:00,5161.79,5164.69,5161.79,5162.91,
2026-03-12 04:40:00,5162.93,5163.99,5162.5,5162.5,
2026-03-12 04:41:00,5162.48,5164.02,5161.47,5163.85,
2026-03-12 04:42:00,5163.85,5166.56,5163.57,5165.81,
2026-03-12 04:43:00,5165.83,5167.81,5164.74,5167.71,
2026-03-12 04:44:00,5167.71,5170.33,5167.12,5169.77,
2026-03-12 04:45:00,5169.82,5171.01,5168.31,5170.85,
2026-03-12 04:46:00,5170.91,5172.15,5169.09,5169.13,
2026-03-12 04:47:00,5169.13,5170.0,5167.69,5169.81,
2026-03-12 04:48:00,5169.87,5171.29,5168.98,5171.27,
2026-03-12 04:49:00,5171.22,5172.9,5170.16,5171.87,
2026-03-12 04:50:00,5171.93,5171.97,5170.46,5170.77,
2026-03-12 04:51:00,5170.72,5171.66,5169.2,5170.95,
2026-03-12 04:52:00,5170.95,5171.04,5167.78,5168.89,
2026-03-12 04:53:00,5168.87,5169.0,5167.28,5167.36,
2026-03-12 04:54:00,5167.36,5168.35,5167.06,5167.41,
2026-03-12 04:55:00,5167.41,5168.53,5166.83,5167.04,
2026-03-12 04:56:00,5167.02,5167.14,5165.22,5166.24,
2026-03-12 04:57:00,5166.24,5166.75,5164.35,5165.46,
2026-03-12 04:58:00,5165.46,5167.18,5165.32,5166.72,
2026-03-12 04:59:00,5166.8,5168.71,5166.8,5168.54,
2026-03-12 05:00:00,5168.55,5169.0,5167.53,5167.82,
2026-03-12 05:01:00,5167.74,5169.3,5167.58,5167.7,
2026-03-12 05:02:00,5167.71,5169.12,5167.4,5169.01,
2026-03-12 05:03:00,5169.01,5172.01,5169.01,5171.09,
2026-03-12 05:04:00,5171.08,5172.97,5170.48,5171.97,
2026-03-12 05:05:00,5171.94,5172.57,5171.31,5172.1,
2026-03-12 05:06:00,5172.11,5172.42,5170.13,5170.45,
2026-03-12 05:07:00,5170.45,5170.5,5169.14,5170.24,
2026-03-12 05:08:00,5170.24,5172.25,5170.22,5171.38,
2026-03-12 05:09:00,5171.41,5173.97,5170.91,5173.67,
2026-03-12 05:10:00,5173.67,5174.37,5172.44,5172.54,
2026-03-12 05:11:00,5172.49,5173.16,5171.33,5173.06,
2026-03-12 05:12:00,5173.06,5174.41,5172.76,5174.23,
2026-03-12 05:13:00,5174.23,5174.69,5173.67,5174.4,
2026-03-12 05:14:00,5174.22,5174.23,5172.8,5174.22,
2026-03-12 05:15:00,5174.22,5174.24,5172.3,5173.05,
2026-03-12 05:16:00,5173.07,5173.39,5171.19,5171.27,
2026-03-12 05:17:00,5171.33,5172.95,5170.65,5172.21,
2026-03-12 05:18:00,5172.19,5174.53,5171.91,5173.1,
2026-03-12 05:19:00,5173.39,5174.21,5171.14,5174.21,
2026-03-12 05:20:00,5174.22,5175.17,5172.58,5172.59,
2026-03-12 05:21:00,5172.59,5173.46,5172.12,5172.85,
2026-03-12 05:22:00,5172.84,5172.84,5170.66,5171.27,
2026-03-12 05:23:00,5171.27,5171.38,5168.72,5169.08,
2026-03-12 05:24:00,5169.08,5171.58,5168.98,5169.46,
2026-03-12 05:25:00,5169.48,5172.13,5168.82,5171.09,
2026-03-12 05:26:00,5171.1,5171.1,5169.47,5170.84,
2026-03-12 05:27:00,5170.84,5170.88,5169.46,5169.74,
2026-03-12 05:28:00,5169.18,5169.43,5168.22,5168.26,
2026-03-12 05:29:00,5168.3,5168.34,5167.29,5168.12,
2026-03-12 05:30:00,5168.12,5170.31,5167.97,5169.8,
2026-03-12 05:31:00,5169.79,5171.07,5169.55,5169.74,
